id,code,name,has_hrp,in_gho,from_cods,reference_period_start,reference_period_end
#country+hapi_id,#country+code,#country+name,#indicator+has_hrp,#indicator+in_gho,#indicator+from_cods,#date+start,#date+end
107,IRL,Ireland,False,False,True,1974-01-01T00:00:00,
108,IMN,Isle of Man,False,False,True,2006-03-29T00:00:00,
109,ISR,Israel,False,False,True,1974-01-01T00:00:00,
110,ITA,Italy,False,False,True,1974-01-01T00:00:00,
111,JAM,Jamaica,False,False,True,1974-01-01T00:00:00,
112,JPN,Japan,False,False,True,1974-01-01T00:00:00,
113,JEY,Jersey,False,False,True,2006-03-29T00:00:00,
114,JOR,Jordan,False,True,True,1974-01-01T00:00:00,
115,KAZ,Kazakhstan,False,False,True,2002-05-20T00:00:00,
116,KEN,Kenya,False,True,True,1974-01-01T00:00:00,
117,KIR,Kiribati,False,False,True,1984-01-01T00:00:00,
118,PRK,Democratic People's Republic of Korea,False,False,True,1974-01-01T00:00:00,
119,KOR,Republic of Korea,False,False,True,1974-01-01T00:00:00,
120,KWT,Kuwait,False,False,True,1974-01-01T00:00:00,
121,KGZ,Kyrgyzstan,False,False,True,1993-07-25T00:00:00,
122,LAO,Lao People's Democratic Republic,False,False,True,1974-01-01T00:00:00,
123,LVA,Latvia,False,True,True,1992-06-15T00:00:00,
124,LBN,Lebanon,False,True,True,1974-01-01T00:00:00,
125,LSO,Lesotho,False,False,True,1974-01-01T00:00:00,
126,LBR,Liberia,False,False,True,1974-01-01T00:00:00,
127,LBY,Libya,False,True,True,2018-01-03T00:00:00,
128,LIE,Liechtenstein,False,False,True,1974-01-01T00:00:00,
129,LTU,Lithuania,False,True,True,1992-06-15T00:00:00,
130,LUX,Luxembourg,False,False,True,1974-01-01T00:00:00,
131,MAC,"China, Macao Special Administrative Region",False,False,True,1974-01-01T00:00:00,
