id,admin1_ref,code,name,from_cods,reference_period_start,reference_period_end,admin1_code,admin1_name,location_code,location_name,location_ref
#adm2+hapi_id,#adm1+hapi_id,#adm2+code,#adm2+name,,#date+start,#date+end,#adm1+code,#adm1+code,#country+code,#country+code,#country+hapi_id
111,11,AF1107,Andar,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
112,11,AF1108,Zanakhan,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
113,11,AF1109,Rashidan,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
114,11,AF1110,Nawur,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
115,11,AF1111,Qara Bagh,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
116,11,AF1112,Giro,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
117,11,AF1113,Ab Band,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
118,11,AF1114,Jaghuri,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
119,11,AF1115,Muqur,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
120,11,AF1116,Malistan,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
121,11,AF1117,Gelan,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
122,11,AF1118,Ajristan,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
123,11,AF1119,Nawa,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
124,12,AF1201,Sharan,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
125,12,AF1202,Mata Khan,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
126,12,AF1203,Yosuf Khel,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
127,12,AF1204,Yahya Khel,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
128,12,AF1205,Sar Rawzah,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
129,12,AF1206,Omna,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
130,12,AF1207,Zarghun Shahr,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
131,12,AF1208,Gomal,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
132,12,AF1209,Jani Khel,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
133,12,AF1210,Surobi,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
134,12,AF1211,Urgun,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
135,12,AF1212,Ziruk,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
136,12,AF1213,Nika,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
137,12,AF1214,Barmal,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
138,12,AF1215,Giyan,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
139,12,AF1216,Dila,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
140,12,AF1217,Wazakhah,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
141,12,AF1218,Wormamay,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
142,12,AF1219,Turwo,True,2021-11-17T00:00:00,,AF12,Paktika,AFG,Afghanistan,1
143,13,AF1301,Gardez,True,2021-11-17T00:00:00,,AF13,Paktya,AFG,Afghanistan,1
144,13,AF1302,Ahmadaba,True,2021-11-17T00:00:00,,AF13,Paktya,AFG,Afghanistan,1
145,13,AF1303,Zurmat,True,2021-11-17T00:00:00,,AF13,Paktya,AFG,Afghanistan,1
146,13,AF1304,Shawak,True,2021-11-17T00:00:00,,AF13,Paktya,AFG,Afghanistan,1
147,13,AF1305,Zadran,True,2021-11-17T00:00:00,,AF13,Paktya,AFG,Afghanistan,1
148,13,AF1306,Sayed Karam,True,2021-11-17T00:00:00,,AF13,Paktya,AFG,Afghanistan,1
149,13,AF1307,Jaji,True,2021-11-17T00:00:00,,AF13,Paktya,AFG,Afghanistan,1
150,13,AF1308,Lija Ahmad Khel,True,2021-11-17T00:00:00,,AF13,Paktya,AFG,Afghanistan,1
151,13,AF1309,Jani Khel,True,2021-11-17T00:00:00,,AF13,Paktya,AFG,Afghanistan,1
152,13,AF1310,Chamkani,True,2021-11-17T00:00:00,,AF13,Paktya,AFG,Afghanistan,1
153,13,AF1311,Dand Wa Patan,True,2021-11-17T00:00:00,,AF13,Paktya,AFG,Afghanistan,1
154,14,AF1401,Matun,True,2021-11-17T00:00:00,,AF14,Khost,AFG,Afghanistan,1
155,14,AF1402,Mandozayi,True,2021-11-17T00:00:00,,AF14,Khost,AFG,Afghanistan,1
156,14,AF1403,Gurbuz,True,2021-11-17T00:00:00,,AF14,Khost,AFG,Afghanistan,1
157,14,AF1404,Tani,True,2021-11-17T00:00:00,,AF14,Khost,AFG,Afghanistan,1
158,14,AF1405,Musa Khel,True,2021-11-17T00:00:00,,AF14,Khost,AFG,Afghanistan,1
159,14,AF1406,Nadir Shah Kot,True,2021-11-17T00:00:00,,AF14,Khost,AFG,Afghanistan,1
160,14,AF1407,Sabari,True,2021-11-17T00:00:00,,AF14,Khost,AFG,Afghanistan,1
161,14,AF1408,Terezayi,True,2021-11-17T00:00:00,,AF14,Khost,AFG,Afghanistan,1
162,14,AF1409,Bak,True,2021-11-17T00:00:00,,AF14,Khost,AFG,Afghanistan,1
163,14,AF1410,Qalandar,True,2021-11-17T00:00:00,,AF14,Khost,AFG,Afghanistan,1
164,14,AF1411,Spera,True,2021-11-17T00:00:00,,AF14,Khost,AFG,Afghanistan,1
165,14,AF1412,Shamal,True,2021-11-17T00:00:00,,AF14,Khost,AFG,Afghanistan,1
166,14,AF1413,Jaji Maydan,True,2021-11-17T00:00:00,,AF14,Khost,AFG,Afghanistan,1
167,15,AF1501,Asad Abad,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
168,15,AF1502,Marawara,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
169,15,AF1503,Watapur,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
170,15,AF1504,Narang,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
171,15,AF1505,Sar Kani,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
172,15,AF1506,Shigal,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
173,15,AF1507,Dara-e-Pech,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
174,15,AF1508,Bar Kunar,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
175,15,AF1509,Chawkay,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
176,15,AF1510,Khas Kunar,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
177,15,AF1511,Ghazi Abad,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
178,15,AF1512,Dangam,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
179,15,AF1513,Chapa Dara,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
180,15,AF1514,Nurgal,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
181,15,AF1515,Nari,True,2021-11-17T00:00:00,,AF15,Kunar,AFG,Afghanistan,1
182,16,AF1601,Parun,True,2021-11-17T00:00:00,,AF16,Nuristan,AFG,Afghanistan,1
183,16,AF1602,Waygal,True,2021-11-17T00:00:00,,AF16,Nuristan,AFG,Afghanistan,1
184,16,AF1603,Wama,True,2021-11-17T00:00:00,,AF16,Nuristan,AFG,Afghanistan,1
185,16,AF1604,Nurgaram,True,2021-11-17T00:00:00,,AF16,Nuristan,AFG,Afghanistan,1
186,16,AF1605,Duab,True,2021-11-17T00:00:00,,AF16,Nuristan,AFG,Afghanistan,1
187,16,AF1606,Kamdesh,True,2021-11-17T00:00:00,,AF16,Nuristan,AFG,Afghanistan,1
188,16,AF1607,Mandol,True,2021-11-17T00:00:00,,AF16,Nuristan,AFG,Afghanistan,1
189,16,AF1608,Barg-e-Matal,True,2021-11-17T00:00:00,,AF16,Nuristan,AFG,Afghanistan,1
190,17,AF1701,Fayzabad,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
191,17,AF1702,Argo,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
192,17,AF1703,Arghanj Khwah,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
193,17,AF1704,Yaftal-e-Sufla,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
194,17,AF1705,Khash,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
195,17,AF1706,Baharak,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
196,17,AF1707,Darayem,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
197,17,AF1708,Kohistan,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
198,17,AF1709,Yawan,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
199,17,AF1710,Jorm,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
200,17,AF1711,Teshkan,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
201,17,AF1712,Shuhada,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
202,17,AF1713,Shahr-e-Buzorg,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
203,17,AF1714,Raghestan,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
204,17,AF1715,Keshem,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
205,17,AF1716,Warduj,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
206,17,AF1717,Tagab,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
207,17,AF1718,Yamgan,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
208,17,AF1719,Shighnan,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
209,17,AF1720,Khwahan,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
210,17,AF1721,Kofab,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
211,17,AF1722,Darwaz-e-Payin,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
212,17,AF1723,Eshkashem,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
